Molecule,SMILES,Rotors,Conformers,ElapsedTime(s),Status
"MOL0116",COc1c(cc2c(n1)cc([nH]2)N3CC[C@H](C3)O)C(=O)C(=O)c4c[nH]c5c4ccc(c5)c6ccc(cc6F)F,6,200,0.10
"MOL0117",COc1c(cc(cn1)c2cnn3c2cccc3O)C(=O)N4CC[C@@H](C4)C(=O)C(=O)N5CC[C@H](C5)F,7,200,0.11
"MOL0118",COc1c(cc(cn1)c2cc[nH]c2)C(=O)N3CC[C@H](C[C@H]3C(=O)N4CCn5cc(nc5C4)c6ccc(cc6F)F)O,7,200,0.12
"MOL0119",COc1c2cc(n(c2ccn1)C(=O)C(=O)N3CCn4c(cnc4c5ccc(cc5F)F)C3)C(=O)N6CC[C@@H](C6)O,7,200,0.16
"MOL0120",COc1c(cc2c(c[nH]c2n1)C(=O)N3CC[C@H](C3)O)CN4C[C@@](C4=O)(c5ccc(cc5F)F)F,6,200,0.17
"MOL0121",COc1c2c(cc([nH]2)C(=O)C(=O)N3CCc4c(cncc4F)C3)c(cn1)C(=O)N5CC[C@H](C5)O,6,200,0.09
"MOL0122",COc1c(cc(cn1)c2cnn3c2c(cc(c3)O)F)C(=O)N4CC[C@H](C4)C(=O)N5CCn6c(ccc6c7ccc(cc7)F)C5,7,200,0.15
"MOL0123",COc1c2cc(c(cc2ccn1)C(=O)[C@H]3C[C@H](CO3)O)C(=O)N4CCn5c(cnc5F)C4,5,200,0.09
"MOL0124",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)c4cc(c(cn4)c5ccc(cc5)F)F,6,200,0.07
"MOL0125",COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CC[C@H](C3)O)C[N@]4CCn5c(cnc5F)C4,6,200,0.07
"MOL0126",COc1c(cc(cn1)F)C(=O)N2CCn3c(cc(c3C(=O)C(=O)N4CC[C@H](C4)O)c5cc(ccc5F)Br)C2,7,200,0.08
"MOL0127",COc1c2c(c(cn1)C(=O)CC(=O)N3CC[C@H](C3)O)nc([nH]2)C(=O)N4CCn5c(cnc5C(F)(F)F)C4,8,200,0.12
"MOL0128",COc1c2c(cc([nH]2)C(=O)n3ccncc3=O)c(cn1)C(=O)N4CC[C@H]([C@@H](C4)O)F,5,128,0.40
